Length,EffectiveLength,TPM,NumReads,Weight
"1114","914.991","46.254010","1375.222716","9982"
"896","696.998","9.301275","210.659528","9989"
"2171","1971.991","0.764688","49.000000","9998"
"2098","1898.991","16.562317","1022.000000","9978"
"2441","2241.991","14.646109","1066.996640","-43"
"4599","4399.991","2.468971","353.000000","-12"
"763","563.999","0.000000","0.000000","-3"
"3336","3136.991","1.863946","190.000000","9947"
"791","591.998","25.204519","484.848394","9994"
"520","321.007","60.001855","625.872174","9991"
"1915","1715.991","15.175431","846.180360","9973"
"3748","3548.991","3.052386","352.007021","-13"
"4304","4104.991","12.562442","1675.688202","-11"
"591","392.004","7.030973","89.559871","9961"
"1209","1009.991","0.000000","0.000000","0"
"581","382.005","11.942024","148.235992","-36"
"1493","1293.991","58.149967","2445.049212","9986"
"831","631.998","1.119966","23.000000","9993"
"3791","3591.991","13.553901","1582.000000","9997"
"2041","1841.991","4.336334","259.547647","9986"
"1018","818.991","12.039024","320.388713","9982"
"648","449.002","8.018959","116.996669","9993"
"546","347.005","5.872082","66.211759","9995"
"973","773.998","2.655674","66.791572","9989"
"954","754.998","6.644078","163.000000","9959"
"8639","8439.991","7.552150","2071.188251","-34"
"2841","2641.991","0.000000","0.000000","0"
"2236","2036.991","5.725892","379.000000","10000"
"6251","6051.991","17.002779","3343.683350","9998"
"6106","5906.991","30.651304","5883.316650","9998"
"2429","2229.991","9.839647","713.000000","10000"
"3738","3538.991","63.906031","7349.000000","10000"
"5285","5085.991","13.348208","2206.000000","9995"
"8838","8638.991","1.599471","449.000000","9945"
"4363","4163.991","0.535474","72.452776","9996"
"10818","10618.991","3.493423","1205.428284","9983"
"3683","3483.991","43.026316","4871.000000","10000"
"2164","1964.991","0.000000","0.000000","-6"
"2432","2232.991","37.061161","2689.136934","9998"
"2639","2439.991","6.430702","509.863066","9998"
"835","635.998","0.000000","0.000000","0"
"1880","1680.991","45.036312","2460.000000","9975"
"4787","4587.991","0.037105","5.531695","9998"
"1572","1372.991","28.460416","1269.742955","9998"
"1441","1241.991","3.444209","139.000000","9992"
"4597","4397.991","0.888674","127.000000","10000"
"812","612.998","0.122767","2.445380","-6"
"4445","4245.991","20.960630","2891.947091","9989"
"1489","1289.991","77.867566","3264.000000","9965"
"1539","1339.991","68.027481","2962.055215","9998"
"1128","928.991","97.822102","2952.944785","9998"
"3109","2909.991","132.523945","12531.207919","9986"
"1851","1651.991","0.933731","50.122907","-31"
"2223","2023.991","4.189164","275.513504","9965"
"2062","1862.991","38.736929","2345.000000","10000"
"2065","1865.991","0.000000","0.000000","0"
"2038","1838.991","10.344065","618.127023","9988"
"5217","5017.991","14.601935","2380.933354","9991"
"775","575.998","0.000000","0.000000","0"
"2915","2715.991","5.302865","468.000000","9979"
"1481","1281.991","0.000000","0.000000","-18"
"1537","1337.991","2.468535","107.324605","9985"
"1971","1771.991","17.575678","1012.000000","9946"
"1268","1068.991","0.000000","0.000000","0"
"930","730.998","21.512835","511.000000","9988"
"476","277.007","5.836400","52.534316","9982"
"665","466.001","42.980653","650.828502","9971"
"914","714.998","52.106130","1210.600137","9971"
"1043","843.991","0.401096","11.000000","9983"
"814","614.998","27.733349","554.221358","9996"
"2773","2573.991","2.115382","176.930511","9998"
